2-mari-fgroup,2-mari-LG_L1,2-mari-LG_L2,2-mari-LG_EN,2-mari-DT,2-mari-SVM,2-mari-baseline
g1,0.6597938144329897,0.6597938144329897,0.6597938144329897,0.5876288659793815,0.6597938144329897,0.6597938144329897
g2,0.6597938144329897,0.6597938144329897,0.6597938144329897,0.6494845360824743,0.6597938144329897,0.6597938144329897
g3,0.6597938144329897,0.6597938144329897,0.6597938144329897,0.6494845360824743,0.6597938144329897,0.6597938144329897
g4,0.6597938144329897,0.6597938144329897,0.6597938144329897,0.44329896907216493,0.6597938144329897,0.6597938144329897
g5,0.6597938144329897,0.6597938144329897,0.6597938144329897,0.5360824742268041,0.6597938144329897,0.6597938144329897
g6,0.6597938144329897,0.6597938144329897,0.6597938144329897,0.5360824742268041,0.6597938144329897,0.6597938144329897
g7,0.6597938144329897,0.6597938144329897,0.6597938144329897,0.38144329896907214,0.6597938144329897,0.6597938144329897
g8,0.6597938144329897,0.6597938144329897,0.6597938144329897,0.5773195876288659,0.6597938144329897,0.6597938144329897
pca,0.6082474226804123,0.6907216494845361,0.6391752577319587,0.4948453608247423,0.6185567010309279,0.6597938144329897
chi2,0.5360824742268041,0.5773195876288659,0.5360824742268041,0.5463917525773195,0.5876288659793815,0.6597938144329897
thresholding,0.6494845360824743,0.5670103092783505,0.6288659793814433,0.5773195876288659,0.6082474226804123,0.6597938144329897
